Name ,Price,Count,Positive Review,Negative Review,Detailed Review Text,Review 2,Review 3,Review 4,Key Features 
"Colgate Visible White Toothpaste, Teeth Whitening Starts in 1 week, Safe on Enamel, Stain Removal Tooth Paste and Minty Flavour for Fresh Breath (200g + 40g, Combo Pack)",243,11,11,0, Customers appreciate the product's value for money. They say it works well and is a good product. , It really work value for money  , This is really good product. Visible White colgate is really wonderful. I just love it. Everyone must buy it.  , Classy Red Tube Packaging Price Cleans the teeth really nicely Does not allow the teeth to become dull with time,Value for money
"Colgate Visible White Toothpaste, Teeth Whitening Starts in 1 week, Safe on Enamel, Stain Removal Tooth Paste and Minty Flavour for Fresh Breath (200g + 40g, Combo Pack)",243,8,8,0," Customers like the product's appearance. They say it makes their teeth look brighter and whiter, and doesn't allow them to become dull over time. The glossy cover packaging is attractive. ", I have seen a difference in my teeth in a week. My teeth looked brighter and whiter but not brighter by one whole shade....  ," good , teast vide cool , colour white dotted , cool product with nice glossy cover packing very attractive ...try once you will love this COLGATE...  ", Have used only twice. But still could say that my teeth really felt clean and white. Let's see how it goes ,Appearance
"Colgate Visible White Toothpaste, Teeth Whitening Starts in 1 week, Safe on Enamel, Stain Removal Tooth Paste and Minty Flavour for Fresh Breath (200g + 40g, Combo Pack)",243,7,7,0, Customers appreciate the mouth refreshment this product provides. They mention it leaves a fresh feeling after brushing and removes bad breath completely. , Mint flavour is so refreshing. I feel very fresh after brushing. Completely removes bad breath too  , cleans the teeth nicely leaving the teeth squeaky clean and the mouth fresh! The minty taste might be a problem for some of you....  , Mint inside the paste give me a refresh feeling and make my teeth visibly white.,Refreshment
"Colgate Visible White Toothpaste, Teeth Whitening Starts in 1 week, Safe on Enamel, Stain Removal Tooth Paste and Minty Flavour for Fresh Breath (200g + 40g, Combo Pack)",243,4,4,0," Customers like the cleaning ability of the product. They say it cleans the teeth nicely, leaving them squeaky. ", Shelf Life: 2 Years from date of manufacture Cleaning ability: It actually cleans the teeth nicely leaving the teeth squeaky clean and the...  , If we regular use this product for two week then you see this is clean your teeth.  , its a very good product. my teeth very neat and clean in 1 week.its very very good. Thanks For Colgate,Cleaning ability
"Colgate Visible White Toothpaste, Teeth Whitening Starts in 1 week, Safe on Enamel, Stain Removal Tooth Paste and Minty Flavour for Fresh Breath (200g + 40g, Combo Pack)",243,4,4,0, Customers like the minty taste of the tooth cleaning agent. They say it's good for all ages. , It really works . Quality product . Taste is good for all age groups . Recommended.  , my teeth getting brighter day by day . Mint flavour is so refreshing. I feel very fresh after brushing. Completely removes bad breath too  , The packaging is quite chic! Fragrance and taste: It is minty in taste (maybe slightly too much) and has a fresh minty fragrance,Taste
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,107,88,19, Customers appreciate the toothpaste's quality. They find it effective in removing stains and promoting teeth whitening. The warm texture and foaming action are also appreciated. , perfect whith  , Product is okay but very small and price is very high price not justified...  , Good product,Product quality
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,25,21,4, Customers find the product effective for cleaning teeth. It removes yellow stains and leaves their teeth feeling fresh and clean after brushing. The active oxygen technology is effective in removing stains and promoting teeth whitening. , Stain remover  , Product is great! Worked really well to remove most of the stain within a few brushes. But then its effect gets saturated.  ," your teeth, but definitely not in 3 days, in my case, my teeth are not stained just little yellowish, though my teeth are not completely white",Cleaning effectiveness
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,98,44,54," Customers have different views on the toothpaste's effectiveness. Some find it works well, with visible results after a month or two. Others report no visible results, and say it doesn't work properly for yellow teeth. The smell and flavor are also mentioned as negative aspects. ", Not that effective  , The product is really effective  , I have used a full tube with no results. Very disappointed. Also it has a bad taste.,Effectiveness
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,96,40,56," Customers have different views on the whitening effect of the product. Some find it effective in keeping their mouth fresh and making their teeth whiter, while others say it doesn't work as expected or turns whiter teeth yellowish. ", I never used tobbaco and any other product like supari. My teeth are little yellowish....  , I Don't have really yellow teeths but still it made them more whiter and gives really cool sensation which is warm  ," It’s just like any other toothpaste, without the promised whitening effect",Whitening effect
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,26,9,17," Customers have different experiences with the product's sensitivity. Some find it gentle on their teeth and gives a cool sensation, making their mouth feel refreshed. Others report that it makes their teeth sensitive, causing irritation and pain. ", It feels like a regular toothpaste with no added benefits. Definitely not worth the money if you’re expecting whitening effects.  , really yellow teeths but still it made them more whiter and gives really cool sensation which is warm  , Feels like a medicinal toothpaste in mouth. Atleast give some basic mint flavour. Too harsh Chemical like bland taste,Tooth sensitivity
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,22,11,11," Customers have mixed opinions about the toothpaste's warmth. Some say it gives a warming sensation once applied to the teeth, while others say it feels icy and freezes at cold temperatures. ", Every other toothpaste gives that. But this one has some warming effect so you can feel it's working....  ," This paste is tasteless, just gives a warming sensation in our mouth and sometimes you can taste mint....  ", It gives a warm feeling inside your mouth. Little bit it smells like bleaching powder but post brushing I feel fresh for long time without eating,Warmth
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,124,15,109," Customers are not satisfied with the value for money of the toothpaste. They say it's an ordinary toothpaste at a high cost, and that it doesn't provide good value. ", Priced high but does the job  ," My teeth are little yellowish. This product is waste of money, waste of time and a fraud with customers....  ", Product is okay but very small and price is very high price not justified,Value for money
"Colgate Visible White O2, Teeth Whitening Toothpaste (50g) for noticeably whiter teeth starting in 3 days with Active Technology, Enamel Safe Teeth Whitening & Fresh Breath",176,57,14,43, Customers dislike the taste of the tooth cleaning agent. They say it has a chemical-like bland taste. , The taste is not so good as tastes like acids or chlorine and also smells like chlorine in mouth but the result is good for a long time user.  , Very disappointed. Also it has a bad taste.  ," The toothpaste leaves a refreshing and pleasant peppermint flavor after each use, which I find appealing",Taste
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,129,125,4, Customers like the charcoal toothpaste. They say it works well and has a nice taste. , Good product but packing is not good enough 3.5/5  , Very nice offfer .  , Product is good and liked it,Quality
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,43,40,3, Customers like the taste of the tooth cleaning agent. They say it's good value for money and has a good flavor. ," No weird mint taste or smell of the toothpaste. Started using it, hope it's whitening helps  "," It's ok for flavour or freshness, but cleaning the teeth is good  ", I personally believe that it has an excellent taste that isn't overpowering. Highly recommended.,Taste
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,39,36,3," Customers appreciate the freshness of the tooth cleaning agent. They say it prevents bad mouth odor and enhances freshness. The product leaves their mouth feeling fresh for a longer time, with a good bamboo charcoal and mint combination. ", Wow super I feel fresh it improve the teeth health smella food I like it very much thank you Amazon  , Long lasting freshness  , The mint is the reason for the freshness you feel while using it. The flavour might not be of everybody's liking,Freshness
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,21,15,6, Customers appreciate the attractive color of the tooth cleaning agent. They find it similar to Closeup's gel and describe it as a greyish-black color. , It is amazing to use. Has a really great colour too.  ," It's a black gel tooth paste.It taste mint it foams up very well, it gives your smooth cleansing ....  ", You will find black color after squeezing out and as and when you start brushing it changes to white color like regular toothpastes.,Color
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,17,14,3," Customers appreciate the toothpaste's cleaning properties. They say it foams well, provides smooth cleansing, and removes yellowish stains from teeth. The product leaves their mouth fresh and clean, providing better oral hygiene. ", Good in teeth cleaning however seems not different then other variant . Not sure why to spend more on this  ," It's ok for flavour or freshness, but cleaning the teeth is good  ", This toothpaste has various cleaning properties and also is known to purify breath,Cleaning properties
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,14,14,0," Customers like the tooth cleaning product. They say it's good for their teeth and gums, with charcoal providing good care. The toothpaste brightens their teeth and the mint freshens the mouth. Some find it better than regular Colgate, but others mention it increases sensitivity. "," This toothpaste I am using since last 2 years and it is very good for tooth health, smell is good and feel light, give whitening effect quickly.  "," Bunny certified, vegan, and contains coconut oil to help combat harmful mouth bacteria. It's also available with fluoride  ", Charcoal is good for teeth,Tooth health
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,10,7,3," Customers enjoy the fresh, tingling sensation in their mouth after using the tooth cleaning product. It leaves a long-lasting fresh feeling and is suitable for sensitive teeth. ", and appearance is quite satisfying and ease to use with average comfort and performance.  , Bamboo Charcoal and Mint which actually brings in a fresh feel inside the mouth that lasts for a long time....  ," I quite like the flavour although it’s mild. However, the mint flavour could have been enhanced",Mouth feel
"Colgate Charcoal Clean Black Gel Toothpaste, Combo Pack of 240g (120g x2) Deep Clean Tooth paste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal & Tingling Fresh Mouth Experience",229,58,34,24," Customers have mixed opinions about the value for money of the tooth cleaning agent. Some say it's worth the money, while others say it's not value for money, expensive, or an average product for regular use. The quality seems to vary from one purchase to the next. ", I am use this first time.. Quality value for money  , Your quality not maintained in every purchase  , Good toothpaste valve for money,Value for money
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,72,72,0," Customers are satisfied with the toothpaste's quality. They find it effective and a good value for money. The minty fresh taste is appreciated, as well as its authenticity and ability to clean teeth effectively. "," Very good product. A bit costly, but worth it!  ", Got the product delivered. Quality seems good and good packaging. Manufacturing is also of same year....  , Good quality. Feel fresh after use,Quality
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,31,26,5, Customers appreciate the toothpaste's value for money. They mention it has a fresh scent and is effective. The price seems reasonable. ," Very good product. A bit costly, but worth it!  "," Product is fress or we can say, value for money.  ", Good buy,Value for money
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,17,17,0," Customers appreciate the toothpaste's cleaning power. They say it keeps their teeth clean and healthy, preventing dental problems. The toothpaste adds extra care to their teeth and gives them a clean after feeling. ", It's very effective in teeth whitening and bad breathe. My teeth looks more clean....  ," Great pack, cleanses teeth well  "," The anti-germ properties work wonders in ensuring lasting freshness, and you can feel the confidence of a germ-free smile throughout the day",Cleaning power
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,14,12,2, Customers enjoy the taste of the tooth cleaning product. They say it tastes good and leaves a fresh breath. The charcoal variant feels better and gives a great feeling after usage. ," toothpastes that has fluoride to fight tooth decay (cavities), but tastes great and leaves a fresh breath. Very good product....  "," What truly stands out is the pleasant flavor – a balanced, minty freshness that isn’t overpowering....  ", The new flavor of toothpaste is good.,Taste
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,12,12,0," Customers appreciate the freshness of the toothpaste. They find it provides long-lasting freshness and antibacterial protection for their entire mouth. It leaves their teeth and breath feeling clean and refreshed after use, keeping their smile bright and healthy for months. Many reviewers mention that it lasts reasonably well but not as long as advertised. Overall, customers are satisfied with the product's freshness and value for money. ", Good quality. Feel fresh after use  , Also tooth look clean and mouth fresh. Excellent paste. Highly recommended.  ," The anti-germ properties work wonders in ensuring lasting freshness, and you can feel the confidence of a germ-free smile throughout the day",Freshness
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,11,11,0," Customers appreciate the toothpaste's effectiveness. They find it effective in whitening, bad breath, and removing sensitivity. It provides extra care for their teeth and reduces tooth issues. ", Edit : I have been using since last 2 days. It's very effective in teeth whitening and bad breathe. My teeth looks more clean....  ," for regular toothpaste which doesn't leave lot to be done and works amazing, this is the one for you! Works amazing for sensitive teeth.  ", Sensibility effectiveness brushing ebility,Effectiveness
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,7,7,0," Customers like the toothpaste's feel. They say it leaves their teeth feeling fresh and clean after use, especially the charcoal variant. ", It gives very good feel. Smell Lasts for at least 12 hrs.  , Taste and feels good after brushing.  , Total took the quality much higher. Charcoal variant feels much better. I haven't had to visit a dentist in 40 years,Feel
"Colgate Total Advanced Health Anti-germ Toothpaste, 480g, Tooth Paste with 12-Hour Anti-Germ Protection, Whole Mouth Health (Combo Pack Offer)",456,7,7,0," Customers like the mouth protection this toothpaste provides. They say it protects teeth and gums from toothaches, provides long-lasting freshness, and has excellent antibacterial protection for their whole mouth. The toothpaste is described as clean, refreshing, and safe. ", It provides long-lasting freshness and excellent antibacterial protection for my whole mouth. My teeth feel cleaner and healthier with every use....  ," Excellent in germ protection, better than any one else.  "," Just as it says 24 hours protection for Teeth and Gum, if you properly brush your teeth.",Mouth protection
"Colgate Lemon Fresh Gel Toothpaste, Fights Yellowness of Teeth, Freshens Breath, Anticavity Fluoride Toothpaste, Enamel-Safe (120gm)",148,14,14,0, Customers are satisfied with the product's quality. They describe it as a good toothpaste and recommend trying it. , like a gel but kaafi fresh vibe he iska kind of shocked but overall good product  , Nice product  , like a gel but kaafi fresh vibe he iska kind of shocked but overall good product,Quality
"Colgate Lemon Fresh Gel Toothpaste, Fights Yellowness of Teeth, Freshens Breath, Anticavity Fluoride Toothpaste, Enamel-Safe (120gm)",148,12,12,0," Customers enjoy the refreshing taste and feel of the tooth cleaning gel. They find it looks and tastes good, with a pleasant lather. The feeling is different from other flavors, like a lemon soda drink. ", The vibrant yellow gel and refreshing taste make it perfect for someone like me jisey naye products explore karna pasand hai.  ," I loved the taste and freshness. It has subtle lemony taste, not very sharp, just like gentle lemonade. Lather is optimum....  "," Id give this product a 5/5 cause the freshness is too good, taste is so good and looks like a jelly chocolate 😅 just scared that I don’t eat it aisehi",Taste
"Colgate Lemon Fresh Gel Toothpaste, Fights Yellowness of Teeth, Freshens Breath, Anticavity Fluoride Toothpaste, Enamel-Safe (120gm)",148,10,10,0, Customers enjoy the freshness of the toothpaste. They mention it has a pleasant scent and feels fresh in every bite. ," I loved the taste and freshness. It has subtle lemony taste, not very sharp, just like gentle lemonade. Lather is optimum....  "," Id give this product a 5/5 cause the freshness is too good, taste is so good and looks like a jelly chocolate 😅 just scared that I don’t eat it aisehi...  ", Just like the same it actually gives you the freshness .. Definitely try krna chahiye sabke,Freshness
"Colgate Lemon Fresh Gel Toothpaste, Fights Yellowness of Teeth, Freshens Breath, Anticavity Fluoride Toothpaste, Enamel-Safe (120gm)",148,6,6,0, Customers like the color of the tooth cleaning agent. It looks like a gel and has a refreshing taste. , Colgate lemon fresh ne toh dil jeet liya. The vibrant yellow gel and refreshing taste make it perfect for someone like me jisey naye products...  ," a 5/5 cause the freshness is too good, taste is so good and looks like a jelly chocolate 😅 just scared that I don’t eat it aisehi...  ", Unique color.. Colgate is really doing well with their new variants,Color
"Colgate Lemon Fresh Gel Toothpaste, Fights Yellowness of Teeth, Freshens Breath, Anticavity Fluoride Toothpaste, Enamel-Safe (120gm)",148,5,5,0, Customers like the feel of the tooth cleaning agent. They say the paste feels soft while brushing and gives them a refreshing feeling. The yellow gel also looks and tastes good. ," It has subtle lemony taste, not very sharp, just like gentle lemonade. Lather is optimum. Feeling is dfferent from the boring flavours....  "," Unique flavor, good brushing experience. Feels fresh  ", Paste feels so soft while brushing also it is yellow so Kaafi cute lag raha he pack iska,Feel
"Colgate Lemon Fresh Gel Toothpaste, Fights Yellowness of Teeth, Freshens Breath, Anticavity Fluoride Toothpaste, Enamel-Safe (120gm)",148,4,4,0, Customers like the product's teeth health benefits. They say it works well for their teeth and helps them turn slightly whiter. , this mistakenly but turns out to be a good investment works well for my teeth also it gives that right about of freshness first thing in the morning  , Works for my teeth as it helped my teeth turn slightly whiter  , Nice n different but very useful,Teeth health
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,107,93,14, Customers like the toothpaste. They find it effective and a reliable option. The delivery was prompt and the product was genuine. , really this is very good quality as well as less price  , Good and Value for money product  , I got it at very low price.. Very good quality,Quality
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,47,34,13, Customers enjoy the freshness and flavor of the tooth cleaning agent. They find it good value for money. , It's really freshens up your breath and works and tastes like a 'fresh flavoured' chewing gum. Good to use. Good packaging too.  , I like the taste with bread sandwich  ," Fresh mint tasty with gel form. Freshness breath , gives minty taste in mouth. Feels fresh .",Taste
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,46,41,5, Customers appreciate the value for money of this toothpaste. They also like the fresh breath it provides. , really this is very good quality as well as less price  , Good and Value for money product  , Regular use will keep your teeth healthy. I got it at very low price.. Very good quality,Value for money
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,44,42,2, Customers appreciate the freshness of the toothpaste. They find it refreshing and satisfying for their oral care needs. , Better with the cool mint effect. Keeps the fresh feeling.  ," preferred toothpaste, Colgate MaxFresh is a solid option that delivers a refreshing and satisfying oral care experience.  "," Freshness breath , gives minty taste in mouth. Feels fresh .",Freshness
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,9,9,0," Customers like the toothpaste quality. They say it provides good dental care, solves dental problems, and keeps teeth healthy. The toothpaste is refreshing and acts as a mouth freshener, providing a satisfying oral care experience. ", Regular use will keep your teeth healthy. I got it at very low price.. Very good quality  , MaxFresh is a solid option that delivers a refreshing and satisfying oral care experience.  , It acts like a mouth freshner. It is more better then normal colgate. Also it required less toothpaste compare to normal colgate.,Toothpaste quality
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,8,8,0, Customers like the tooth paste quality. They mention it's a good paste with a good flavor and good value for money. ," Good paste ,got set of 2 for Rs 130. Have used the red flavor previously , this is a bit less sweater in taste  ", Good paste and helps to reduce bad breathe. Satisfied with it.  , Paste is fine but sugar content is very high. Taste is very sugary.,Tooth paste quality
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,7,7,0, Customers like the toothpaste's smell and taste. , Product is seems original and have brilliant smell .  ," Very freshness, smells, smooth and whitening. Value for money  "," This is a mediocre toothpaste. Why? It smells, feels and tastes great but won't do the main purpose — CLEAN. It cleans very poorly.",Smell
"Colgate MaxFresh Toothpaste, Blue Gel Tooth Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Combo Pack Offer)",198,6,6,0," Customers appreciate the cool, fresh feel of the toothpaste. They say it doesn't leave bad breath like other toothpastes. It leaves a smooth and whitening feeling on their teeth. ", The refreshing sensation it provides and the overall cleanliness it offers make it a reliable option....  ," Very freshness, smells, smooth and whitening. Value for money  "," This is a mediocre toothpaste. Why? It smells, feels and tastes great but won't do the main purpose — CLEAN. It cleans very poorly.",Feel
"Colgate Toothpaste for Kids (6-9 years), Natural Strawberry Mint Flavour Tooth paste, with 0% Artificial Flavors, Preservatives, Sweeteners & Colors - 80g Tube",191,13,13,0, Customers like the product's quality. They say it serves its purpose well and is a good product. , very good product  , Serves the purpose well.  , Very good product,Quality
"Colgate Toothpaste for Kids (6-9 years), Natural Strawberry Mint Flavour Tooth paste, with 0% Artificial Flavors, Preservatives, Sweeteners & Colors - 80g Tube",191,5,5,0, Customers say the product is good for kids and okay for small kids. , It's ok for small kids .  , Good for kids  , It is appropriate for a kids age mentioned on package as my younger daughter has a habit to swallow some times and that flouride thing is not good,Kids friendly
"Colgate Toothpaste for Kids (6-9 years), Natural Strawberry Mint Flavour Tooth paste, with 0% Artificial Flavors, Preservatives, Sweeteners & Colors - 80g Tube",191,4,4,0," Customers like the toothpaste's effectiveness. They mention it serves its purpose well, is a good product for the teeth, and the best kids toothpaste available out there. ", Good product for the teeth nothing  , Like it for brushing teeth  , My son did not like the flavour but the toothpaste is effective. Serves the purpose well.,Toothpaste effectiveness
"Colgate Toothpaste for Kids (6-9 years), Natural Strawberry Mint Flavour Tooth paste, with 0% Artificial Flavors, Preservatives, Sweeteners & Colors - 80g Tube",191,16,7,9," Customers have mixed opinions about the toothpaste's taste. Some find it nice, while others say it's not good. The issue is that it's a very sweet toothpaste which rather leaves a bad odour in kids. "," Not very nice flavour , overall good one  ", Kids love the flavor  , maybe good for teeth and my elder daughter (5years) says it's very minti and don't like it compare to previous one.,Taste
